collected_frames,explosions/rate,explosions/dirty_transitions
33554432,,0
33685504,0.0,
33685504,,0
33816576,0.0,
33816576,,0
33947648,0.0,
33947648,,0
34078720,0.0,
34078720,,0
34209792,0.0,
34209792,,0
34340864,0.0,
34340864,,0
34471936,0.0,
34471936,,0
34603008,0.0,
34603008,,0
34734080,0.0,
34734080,,0
34865152,0.0,
34865152,,0
34996224,0.0,
34996224,,0
35127296,0.0,
35127296,,0
35258368,0.0,
35258368,,0
35389440,0.0,
35389440,,0
35520512,0.0,
35520512,,0
35651584,0.0,
35651584,,0
35782656,0.0,
35782656,,0
35913728,0.0,
35913728,,0
36044800,0.0,
36044800,,0
36175872,0.0,
36175872,,0
36306944,0.0,
36306944,,0
36438016,0.0,
36438016,,0
36569088,0.0,
36569088,,0
36700160,0.0,
36700160,,0
36831232,0.0,
36831232,,0
36962304,0.0,
36962304,,0
37093376,0.0,
37093376,,0
37224448,0.0,
37224448,,0
37355520,0.0,
37355520,,0
37486592,0.0,
37486592,,0
37617664,0.0,
37617664,,0
37748736,0.0,
37748736,,0
37879808,0.0,
37879808,,0
38010880,0.0,
38010880,,0
38141952,0.0,
38141952,,0
38273024,0.0,
38273024,,0
38404096,0.0,
38404096,,0
38535168,0.0,
38535168,,0
38666240,0.0,
38666240,,0
38797312,0.0,
38797312,,0
38928384,0.0,
38928384,,0
39059456,0.0,
39059456,,0
39190528,0.0,
39190528,,0
39321600,0.0,
39321600,,0
39452672,0.0,
39452672,,0
39583744,0.0,
39583744,,0
39714816,0.0,
39714816,,0
39845888,0.0,
39845888,,0
39976960,0.0,
39976960,,0
40108032,0.0,
40108032,,0
40239104,0.0,
40239104,,0
40370176,0.0,
40370176,,0
40501248,0.0,
40501248,,0
40632320,0.0,
40632320,,0
40763392,0.0,
40763392,,0
40894464,0.0,
40894464,,0
41025536,0.0,
41025536,,0
41156608,0.0,
41156608,,0
41287680,0.0,
41287680,,0
41418752,0.0,
41418752,,0
41549824,0.0,
41549824,,0
41680896,0.0,
41680896,,0
41811968,0.0,
41811968,,0
41943040,0.0,
41943040,,0
42074112,0.0,
42074112,,0
42205184,0.0,
42205184,,0
42336256,0.0,
42336256,,0
42467328,0.0,
42467328,,0
42598400,0.0,
42598400,,0
42729472,0.0,
42729472,,0
42860544,0.0,
42860544,,0
42991616,0.0,
42991616,,0
43122688,0.0,
43122688,,0
43253760,0.0,
43253760,,0
43384832,0.0,
43384832,,0
43515904,0.0,
43515904,,0
43646976,0.0,
43646976,,0
43778048,0.0,
43778048,,0
43909120,0.0,
43909120,,0
44040192,0.0,
44040192,,0
44171264,0.0,
44171264,,0
44302336,0.0,
44302336,,0
44433408,0.0,
44433408,,0
44564480,0.0,
44564480,,0
44695552,0.0,
44695552,,0
44826624,0.0,
44826624,,0
44957696,0.0,
44957696,,0
45088768,0.0,
45088768,,0
45219840,0.0,
45219840,,0
45350912,0.0,
45350912,,0
45481984,0.0,
45481984,,0
45613056,0.0,
45613056,,0
45744128,0.0,
45744128,,0
45875200,0.0,
45875200,,0
46006272,0.0,
46006272,,0
46137344,0.0,
46137344,,0
46268416,0.0,
46268416,,0
46399488,0.0,
46399488,,0
46530560,0.0,
46530560,,0
46661632,0.0,
46661632,,0
46792704,0.0,
46792704,,0
46923776,0.0,
46923776,,0
47054848,0.0,
47054848,,0
47185920,0.0,
47185920,,0
47316992,0.0,
47316992,,0
47448064,0.0,
47448064,,0
47579136,0.0,
47579136,,0
47710208,0.0,
47710208,,0
47841280,0.0,
47841280,,0
47972352,0.0,
47972352,,0
48103424,0.0,
48103424,,0
48234496,0.0,
48234496,,0
48365568,0.0,
48365568,,0
48496640,0.0,
48496640,,0
48627712,0.0,
48627712,,0
48758784,0.0,
48758784,,0
48889856,0.0,
48889856,,0
49020928,0.0,
49020928,,0
49152000,0.0,
49152000,,0
49283072,0.0,
49283072,,0
49414144,0.0,
49414144,,0
49545216,0.0,
49545216,,0
49676288,0.0,
49676288,,0
49807360,0.0,
49807360,,0
49938432,0.0,
49938432,,0
50069504,0.0,
50069504,,0
50200576,0.0,
50200576,,0
50331648,0.0,
50331648,,0
50462720,0.0,
50462720,,0
50593792,0.0,
50593792,,0
50724864,0.0,
50724864,,0
50855936,0.0,
50855936,,0
50987008,0.0,
50987008,,0
51118080,0.0,
51118080,,0
51249152,0.0,
51249152,,0
51380224,0.0,
51380224,,0
51511296,0.0,
51511296,,0
51642368,0.0,
51642368,,0
51773440,0.0,
51773440,,0
51904512,0.0,
51904512,,0
52035584,0.0,
52035584,,0
52166656,0.0,
52166656,,0
52297728,0.0,
52297728,,0
52428800,0.0,
52428800,,0
52559872,0.0,
52559872,,0
52690944,0.0,
52690944,,0
52822016,0.0,
52822016,,0
52953088,0.0,
52953088,,0
53084160,0.0,
53084160,,0
53215232,0.0,
53215232,,0
53346304,0.0,
53346304,,0
53477376,0.0,
53477376,,0
53608448,0.0,
53608448,,0
53739520,0.0,
53739520,,0
53870592,0.0,
53870592,,0
54001664,0.0,
54001664,,0
54132736,0.0,
54132736,,0
54263808,0.0,
54263808,,0
54394880,0.0,
54394880,,0
54525952,0.0,
54525952,,0
54657024,0.0,
54657024,,0
54788096,0.0,
54788096,,0
54919168,0.0,
54919168,,0
55050240,0.0,
55050240,,0
55181312,0.0,
55181312,,0
55312384,0.0,
55312384,,0
55443456,0.0,
55443456,,0
55574528,0.0,
55574528,,0
55705600,0.0,
55705600,,0
55836672,0.0,
55836672,,0
55967744,0.0,
55967744,,0
56098816,0.0,
56098816,,0
56229888,0.0,
56229888,,0
56360960,0.0,
56360960,,0
56492032,0.0,
56492032,,0
56623104,0.0,
56623104,,0
56754176,0.0,
56754176,,0
56885248,0.0,
56885248,,0
57016320,0.0,
57016320,,0
57147392,0.0,
57147392,,0
57278464,0.0,
57278464,,0
57409536,0.0,
57409536,,0
57540608,0.0,
57540608,,0
57671680,0.0,
57671680,,0
57802752,0.0,
57802752,,0
57933824,0.0,
57933824,,0
58064896,0.0,
58064896,,0
58195968,0.0,
58195968,,0
58327040,0.0,
58327040,,0
58458112,0.0,
58458112,,0
58589184,0.0,
58589184,,0
58720256,0.0,
58720256,,0
58851328,0.0,
58851328,,0
58982400,0.0,
58982400,,0
59113472,0.0,
59113472,,0
59244544,0.0,
59244544,,0
59375616,0.0,
59375616,,0
59506688,0.0,
59506688,,0
59637760,0.0,
59637760,,0
59768832,0.0,
59768832,,0
59899904,0.0,
59899904,,0
60030976,0.0,
60030976,,0
60162048,0.0,
60162048,,0
60293120,0.0,
60293120,,0
60424192,0.0,
60424192,,0
60555264,0.0,
60555264,,0
60686336,0.0,
60686336,,0
60817408,0.0,
60817408,,0
60948480,0.0,
60948480,,0
61079552,0.0,
61079552,,0
61210624,0.0,
61210624,,0
61341696,0.0,
61341696,,0
61472768,0.0,
61472768,,0
61603840,0.0,
61603840,,0
61734912,0.0,
61734912,,0
61865984,0.0,
61865984,,0
61997056,0.0,
61997056,,0
62128128,0.0,
62128128,,0
62259200,0.0,
62259200,,0
62390272,0.0,
62390272,,0
62521344,0.0,
62521344,,0
62652416,0.0,
62652416,,0
62783488,0.0,
62783488,,0
62914560,0.0,
62914560,,0
63045632,0.0,
63045632,,0
63176704,0.0,
63176704,,0
63307776,0.0,
63307776,,0
63438848,0.0,
63438848,,0
63569920,0.0,
63569920,,0
63700992,0.0,
63700992,,0
63832064,0.0,
63832064,,0
63963136,0.0,
63963136,,0
64094208,0.0,
64094208,,0
64225280,0.0,
64225280,,0
64356352,0.0,
64356352,,0
64487424,0.0,
64487424,,0
64618496,0.0,
64618496,,0
64749568,0.0,
64749568,,0
64880640,0.0,
64880640,,0
65011712,0.0,
65011712,,0
65142784,0.0,
65142784,,0
65273856,0.0,
65273856,,0
65404928,0.0,
65404928,,0
65536000,0.0,
65536000,,0
65667072,0.0,
65667072,,0
65798144,0.0,
65798144,,0
65929216,0.0,
65929216,,0
66060288,0.0,
66060288,,0
66191360,0.0,
66191360,,0
66322432,0.0,
66322432,,0
66453504,0.0,
66453504,,0
66584576,0.0,
66584576,,0
66715648,0.0,
66715648,,0
66846720,0.0,
66846720,,0
66977792,0.0,
66977792,,0
67108864,0.0,
67108864,,0
67239936,0.0,
67239936,,0
67371008,0.0,
67371008,,0
67502080,0.0,
67502080,,0
67633152,0.0,
67633152,,0
67764224,0.0,
67764224,,0
67895296,0.0,
67895296,,0
68026368,0.0,
68026368,,0
68157440,0.0,
68157440,,0
68288512,0.0,
68288512,,0
68419584,0.0,
68419584,,0
68550656,0.0,
68550656,,0
68681728,0.0,
68681728,,0
68812800,0.0,
68812800,,0
68943872,0.0,
68943872,,0
69074944,0.0,
69074944,,0
69206016,0.0,
69206016,,0
69337088,0.0,
69337088,,0
69468160,0.0,
69468160,,0
69599232,0.0,
69599232,,0
69730304,0.0,
69730304,,0
69861376,0.0,
69861376,,0
69992448,0.0,
69992448,,0
70123520,0.0,
70123520,,0
70254592,0.0,
70254592,,0
70385664,0.0,
70385664,,0
70516736,0.0,
70516736,,0
70647808,0.0,
70647808,,0
70778880,0.0,
70778880,,0
70909952,0.0,
70909952,,0
71041024,0.0,
71041024,,0
71172096,0.0,
71172096,,0
71303168,0.0,
71303168,,0
71434240,0.0,
71434240,,0
71565312,0.0,
71565312,,0
71696384,0.0,
71696384,,0
71827456,0.0,
71827456,,0
71958528,0.0,
71958528,,0
72089600,0.0,
72089600,,0
72220672,0.0,
72220672,,0
72351744,0.0,
72351744,,0
72482816,0.0,
72482816,,0
72613888,0.0,
72613888,,0
72744960,0.0,
72744960,,0
72876032,0.0,
72876032,,0
73007104,0.0,
73007104,,0
73138176,0.0,
73138176,,0
73269248,0.0,
73269248,,0
73400320,0.0,
73400320,,0
