attempt,collected_frames,explosions/dirty_envs,explosions/skipped_updates,explosions/skipped_updates_frac,explosions/rate
0,9961472,,,,0.0
0,9961472,0,0,0.0,
0,10092544,,,,0.0
0,10092544,0,0,0.0,
0,10223616,,,,0.0
0,10223616,0,0,0.0,
0,10354688,,,,0.0
0,10354688,0,0,0.0,
0,10485760,,,,0.0
0,10485760,0,0,0.0,
0,10616832,,,,0.0
0,10616832,0,0,0.0,
0,10747904,,,,0.0
0,10747904,0,0,0.0,
0,10878976,,,,0.0
0,10878976,0,0,0.0,
0,11010048,,,,0.0
0,11010048,0,0,0.0,
0,11141120,,,,0.0
0,11141120,0,0,0.0,
0,11272192,,,,0.0
0,11272192,0,0,0.0,
0,11403264,,,,0.0
0,11403264,0,0,0.0,
0,11534336,,,,0.0
0,11534336,0,0,0.0,
0,11665408,,,,0.0
0,11665408,0,0,0.0,
0,11796480,,,,0.0
0,11796480,0,0,0.0,
0,11927552,,,,0.0
0,11927552,0,0,0.0,
0,12058624,,,,0.0
0,12058624,0,0,0.0,
0,12189696,,,,0.0
0,12189696,0,0,0.0,
0,12320768,,,,0.0
0,12320768,0,0,0.0,
0,12451840,,,,0.0
0,12451840,0,0,0.0,
0,12582912,,,,0.0
0,12582912,0,0,0.0,
0,12713984,,,,0.0
0,12713984,0,0,0.0,
0,12845056,,,,0.0
0,12845056,0,0,0.0,
0,12976128,,,,0.0
0,12976128,0,0,0.0,
0,13107200,,,,0.0
0,13107200,0,0,0.0,
0,13238272,,,,0.0
0,13238272,0,0,0.0,
0,13369344,,,,0.0
0,13369344,0,0,0.0,
0,13500416,,,,0.0
0,13500416,0,0,0.0,
0,13631488,,,,0.0
0,13631488,0,0,0.0,
0,13762560,,,,0.0
0,13762560,0,0,0.0,
0,13893632,,,,0.0
0,13893632,0,0,0.0,
0,14024704,,,,0.0
0,14024704,0,0,0.0,
0,14155776,,,,0.0
0,14155776,0,0,0.0,
0,14286848,,,,0.0
0,14286848,0,0,0.0,
0,14417920,,,,0.0
0,14417920,0,0,0.0,
0,14548992,,,,0.0
0,14548992,0,0,0.0,
0,14680064,,,,0.0
0,14680064,0,0,0.0,
0,14811136,,,,0.0
0,14811136,0,0,0.0,
0,14942208,,,,0.0
0,14942208,0,0,0.0,
0,15073280,,,,0.0
0,15073280,0,0,0.0,
0,15204352,,,,0.0
0,15204352,0,0,0.0,
0,15335424,,,,0.0
0,15335424,0,0,0.0,
0,15466496,,,,0.0
0,15466496,0,0,0.0,
0,15597568,,,,0.0
0,15597568,0,0,0.0,
0,15728640,,,,0.0
0,15728640,0,0,0.0,
0,15859712,,,,0.0
0,15859712,0,0,0.0,
0,15990784,,,,0.0
0,15990784,0,0,0.0,
0,16121856,,,,0.0
0,16121856,0,0,0.0,
0,16252928,,,,0.0
0,16252928,0,0,0.0,
0,16384000,,,,0.0
0,16384000,0,0,0.0,
0,16515072,,,,0.0
0,16515072,0,0,0.0,
0,16646144,,,,0.0
0,16646144,0,0,0.0,
0,16777216,,,,0.0
0,16777216,0,0,0.0,
1,131072,0,0,0.0,
1,262144,,,,0.0
1,262144,0,0,0.0,
1,393216,,,,0.0
1,393216,0,0,0.0,
1,524288,,,,0.0
1,524288,0,0,0.0,
1,655360,,,,0.0
1,655360,0,0,0.0,
1,786432,,,,0.0
1,786432,0,0,0.0,
1,917504,,,,0.0
1,917504,0,0,0.0,
1,1048576,,,,0.0
1,1048576,0,0,0.0,
1,1179648,,,,0.0
1,1179648,0,0,0.0,
1,1310720,,,,0.0
1,1310720,0,0,0.0,
1,1441792,,,,0.0
1,1441792,0,0,0.0,
1,1572864,,,,0.0
1,1572864,0,0,0.0,
1,1703936,,,,0.0
1,1703936,0,0,0.0,
1,1835008,,,,0.0
1,1835008,0,0,0.0,
1,1966080,,,,0.0
1,1966080,0,0,0.0,
1,2097152,,,,0.0
1,2097152,0,0,0.0,
1,2228224,,,,0.0
1,2228224,0,0,0.0,
1,2359296,,,,0.0
1,2359296,0,0,0.0,
1,2490368,,,,0.0
1,2490368,0,0,0.0,
1,2621440,,,,0.0
1,2621440,0,0,0.0,
1,2752512,,,,0.0
1,2752512,0,0,0.0,
1,2883584,,,,0.0
1,2883584,0,0,0.0,
1,3014656,,,,0.0
1,3014656,0,0,0.0,
1,3145728,,,,0.0
1,3145728,0,0,0.0,
1,3276800,,,,0.0
1,3276800,0,0,0.0,
1,3407872,,,,0.0
1,3407872,0,0,0.0,
1,3538944,,,,0.0
1,3538944,0,0,0.0,
1,3670016,,,,0.0
1,3670016,0,0,0.0,
1,3801088,,,,0.0
1,3801088,0,0,0.0,
1,3932160,,,,0.0
1,3932160,0,0,0.0,
1,4063232,,,,0.0
1,4063232,0,0,0.0,
1,4194304,,,,0.0
1,4194304,0,0,0.0,
1,4325376,,,,0.0
1,4325376,0,0,0.0,
1,4456448,,,,0.0
1,4456448,0,0,0.0,
1,4587520,,,,0.0
1,4587520,0,0,0.0,
1,4718592,,,,0.0
1,4718592,0,0,0.0,
1,4849664,,,,0.0
1,4849664,0,0,0.0,
1,4980736,,,,0.0
1,4980736,0,0,0.0,
1,5111808,,,,0.0
1,5111808,0,0,0.0,
1,5242880,,,,0.0
1,5242880,0,0,0.0,
1,5373952,,,,0.0
1,5373952,0,0,0.0,
1,5505024,,,,0.0
1,5505024,0,0,0.0,
1,5636096,,,,0.0
1,5636096,0,0,0.0,
1,5767168,,,,0.0
1,5767168,0,0,0.0,
1,5898240,,,,0.0
1,5898240,0,0,0.0,
1,6029312,,,,0.0
1,6029312,0,0,0.0,
1,6160384,,,,0.0
1,6160384,0,0,0.0,
1,6291456,,,,0.0
1,6291456,0,0,0.0,
1,6422528,,,,0.0
1,6422528,0,0,0.0,
1,6553600,,,,0.0
1,6553600,0,0,0.0,
1,6684672,,,,0.0
1,6684672,0,0,0.0,
1,6815744,,,,0.0
1,6815744,0,0,0.0,
1,6946816,,,,0.0
1,6946816,0,0,0.0,
1,7077888,,,,0.0
1,7077888,0,0,0.0,
1,7208960,,,,0.0
1,7208960,0,0,0.0,
1,7340032,,,,0.0
1,7340032,0,0,0.0,
1,7471104,,,,0.0
1,7471104,0,0,0.0,
1,7602176,,,,0.0
1,7602176,0,0,0.0,
1,7733248,,,,0.0
1,7733248,0,0,0.0,
1,7864320,,,,0.0
1,7864320,0,0,0.0,
1,7995392,,,,0.0
1,7995392,0,0,0.0,
1,8126464,,,,0.0
1,8126464,0,0,0.0,
1,8257536,,,,0.0
1,8257536,0,0,0.0,
1,8388608,,,,0.0
1,8388608,0,0,0.0,
1,8519680,,,,0.0
1,8519680,0,0,0.0,
1,8650752,,,,0.0
1,8650752,0,0,0.0,
1,8781824,,,,0.0
1,8781824,0,0,0.0,
1,8912896,,,,0.0
1,8912896,0,0,0.0,
1,9043968,,,,0.0
1,9043968,0,0,0.0,
1,9175040,,,,0.0
1,9175040,0,0,0.0,
1,9306112,,,,0.0
1,9306112,0,0,0.0,
1,9437184,,,,0.0
1,9437184,0,0,0.0,
1,9568256,,,,0.0
1,9568256,0,0,0.0,
1,9699328,,,,0.0
1,9699328,0,0,0.0,
1,9830400,,,,0.0
1,9830400,0,0,0.0,
1,9961472,,,,0.0
1,9961472,0,0,0.0,
1,10092544,,,,0.0
1,10092544,0,0,0.0,
1,10223616,,,,0.0
1,10223616,0,0,0.0,
1,10354688,,,,0.0
1,10354688,0,0,0.0,
1,10485760,,,,0.0
1,10485760,0,0,0.0,
1,10616832,,,,0.0
1,10616832,0,0,0.0,
1,10747904,,,,0.0
1,10747904,0,0,0.0,
1,10878976,,,,0.0
1,10878976,0,0,0.0,
1,11010048,,,,0.0
1,11010048,0,0,0.0,
1,11141120,,,,0.0
1,11141120,0,0,0.0,
1,11272192,,,,0.0
1,11272192,0,0,0.0,
1,11403264,,,,0.0
1,11403264,0,0,0.0,
1,11534336,,,,0.0
1,11534336,0,0,0.0,
4,131072,0,0,0.0,
